,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Count,User_Count,Labels,Numeric_Labels
0,2006.0,41.36,28.96,3.77,8.45,82.53,51.0,322.0,L,0
1,2008.0,15.68,12.76,3.79,3.29,35.52,73.0,709.0,H,1
2,2009.0,15.61,10.93,3.28,2.95,32.77,73.0,192.0,H,1
3,2006.0,11.28,9.14,6.5,2.88,29.8,65.0,431.0,H,1
4,2006.0,13.96,9.18,2.93,2.84,28.92,41.0,129.0,L,0
5,2009.0,14.44,6.94,4.7,2.24,28.32,17.0,594.0,L,0
6,2005.0,9.71,7.47,4.13,1.9,23.21,64.0,464.0,H,1
7,2007.0,8.92,8.03,3.6,2.15,22.7,63.0,146.0,L,0
8,2010.0,15.0,4.89,0.24,1.69,21.81,45.0,106.0,L,0
9,2009.0,9.01,8.49,2.53,1.77,21.8,33.0,52.0,L,0
10,2013.0,7.02,9.09,0.98,3.96,21.04,50.0,3994.0,H,1
11,2004.0,9.43,0.4,0.41,10.57,20.81,80.0,1588.0,H,1
12,2005.0,4.74,9.2,4.16,2.04,20.15,58.0,50.0,L,0
13,2013.0,9.66,5.14,0.06,1.41,16.27,58.0,3711.0,H,1
14,2002.0,8.41,5.49,0.47,1.78,16.15,62.0,730.0,H,1
15,2005.0,3.43,5.35,5.32,1.18,15.29,37.0,19.0,L,0
16,2001.0,6.85,5.09,1.87,1.16,14.98,54.0,314.0,H,1
17,2011.0,9.04,0.07,0.13,1.32,14.73,81.0,61.0,L,0
18,2010.0,9.7,3.68,0.11,1.13,14.61,89.0,1454.0,L,0
19,2012.0,4.99,5.73,0.65,2.42,13.79,21.0,922.0,L,0
20,2012.0,8.25,4.24,0.07,1.12,13.67,73.0,2256.0,L,0
21,2009.0,8.52,3.59,0.08,1.28,13.47,100.0,2698.0,L,0
22,2011.0,0.12,5.73,0.49,1.57,13.32,39.0,61.0,L,0
23,2001.0,6.99,4.51,0.3,1.3,13.1,56.0,664.0,H,1
24,2008.0,6.62,2.55,2.66,1.01,12.84,81.0,1662.0,H,1
25,2010.0,5.99,4.37,0.48,1.79,12.63,58.0,1094.0,L,0
26,2014.0,3.96,6.31,0.38,1.97,12.61,66.0,2899.0,H,1
27,2007.0,7.97,2.81,0.13,1.21,12.12,86.0,4100.0,H,1
28,2004.0,3.01,0.01,1.1,7.53,11.66,74.0,272.0,H,1
29,2007.0,6.06,3.35,1.2,0.74,11.35,73.0,2147.0,H,1
30,2008.0,6.76,3.07,0.14,1.03,11.01,86.0,2951.0,H,1
31,1997.0,4.02,3.87,2.54,0.52,10.95,16.0,138.0,H,1
32,2011.0,4.89,3.0,2.14,0.78,10.81,82.0,921.0,H,1
33,2010.0,2.96,4.82,0.81,2.11,10.7,82.0,1112.0,L,0
34,2009.0,4.99,3.64,0.38,1.6,10.6,67.0,2073.0,L,0
35,2008.0,4.76,3.69,0.44,1.61,10.5,64.0,2833.0,H,1
36,2013.0,6.73,2.56,0.04,0.91,10.25,29.0,2117.0,L,0
37,2012.0,3.66,3.14,2.47,0.63,9.9,70.0,424.0,L,0
38,2010.0,7.04,1.95,0.04,0.79,9.86,32.0,2045.0,H,1
39,1997.0,3.01,2.47,3.28,0.96,9.72,20.0,1282.0,H,1
40,2012.0,6.65,2.28,0.04,0.74,9.71,87.0,3260.0,L,0
41,1999.0,3.88,3.42,1.69,0.5,9.49,23.0,135.0,H,1
42,2010.0,5.8,2.85,0.01,0.78,9.44,24.0,24.0,L,0
43,2013.0,4.1,3.63,0.38,1.25,9.36,10.0,1047.0,L,0
44,2007.0,5.93,2.36,0.13,0.9,9.31,70.0,1320.0,H,1
45,2012.0,2.03,2.36,4.39,0.39,9.16,70.0,626.0,H,1
46,2007.0,4.4,1.85,1.98,0.68,8.91,27.0,85.0,L,0
47,2011.0,5.05,2.79,0.1,0.85,8.79,89.0,3589.0,H,1
48,2015.0,1.12,6.12,0.06,1.28,8.57,42.0,896.0,L,0
49,2004.0,6.82,1.53,0.05,0.08,8.49,91.0,1218.0,H,1
50,2010.0,1.75,3.47,2.49,0.67,8.38,42.0,54.0,L,0
51,2007.0,3.74,2.24,1.58,0.7,8.27,41.0,190.0,L,0
52,2012.0,1.06,5.01,0.13,1.97,8.16,37.0,348.0,L,0
53,2001.0,2.91,2.07,2.73,0.02,8.05,53.0,1056.0,H,1
54,2009.0,0.99,6.42,0.04,0.6,8.01,75.0,886.0,H,1
55,1999.0,2.28,1.72,3.63,0.23,7.86,24.0,644.0,H,1
56,2008.0,2.76,1.72,2.69,0.54,7.72,46.0,203.0,H,1
57,2005.0,0.12,2.81,0.24,1.73,7.69,65.0,451.0,L,0
58,2014.0,2.81,3.48,0.14,1.23,7.66,39.0,1443.0,L,0
59,2016.0,0.66,0.05,0.08,1.11,7.59,41.0,398.0,L,0
60,2010.0,3.56,2.35,0.98,0.62,7.51,87.0,1854.0,H,1
61,2008.0,4.81,1.88,0.04,0.69,7.38,84.0,580.0,H,1
62,2011.0,4.46,2.11,0.06,0.69,7.32,57.0,2142.0,L,0
63,2003.0,3.27,2.83,0.08,1.02,7.2,33.0,171.0,H,1
64,2009.0,3.48,2.99,0.04,0.73,7.2,21.0,110.0,L,0
65,2011.0,0.12,2.89,0.06,1.08,7.17,38.0,1761.0,H,1
66,2015.0,2.53,3.27,0.24,1.13,7.16,58.0,4228.0,L,0
67,1998.0,3.27,0.07,0.13,0.02,7.16,15.0,367.0,H,1
68,2006.0,3.74,2.14,0.6,0.68,7.15,73.0,1658.0,L,0
69,2001.0,4.41,1.04,1.39,0.22,7.07,38.0,568.0,H,1
70,2004.0,2.71,3.02,0.08,1.09,6.9,39.0,132.0,H,1
71,2002.0,2.93,2.75,0.17,0.99,6.83,29.0,135.0,H,1
72,2008.0,4.15,0.08,0.06,0.64,6.75,90.0,2739.0,H,1
73,2010.0,3.45,2.59,0.04,0.66,6.74,18.0,16.0,L,0
74,2007.0,3.11,2.26,0.28,1.03,6.68,44.0,993.0,H,1
75,2009.0,3.27,2.2,0.21,0.98,6.66,105.0,5187.0,H,1
76,2005.0,0.12,2.75,1.6,0.62,6.62,45.0,27.0,L,0
77,2010.0,2.79,2.53,0.17,0.99,6.49,73.0,2456.0,H,1
78,2013.0,0.78,4.24,0.07,1.37,6.47,37.0,576.0,L,0
79,2012.0,2.64,2.52,0.16,1.12,6.45,41.0,1307.0,L,0
80,2010.0,3.17,1.79,1.03,0.46,6.44,77.0,368.0,L,0
81,2001.0,4.98,1.3,0.08,0.07,6.43,68.0,1283.0,H,1
82,2011.0,2.55,2.6,0.25,1.0,6.41,16.0,2527.0,L,0
83,2004.0,2.57,1.58,2.06,0.02,6.41,28.0,222.0,L,0
84,2002.0,3.64,1.2,1.49,0.07,6.4,46.0,597.0,H,1
85,2009.0,4.34,1.34,0.06,0.61,6.34,32.0,1163.0,L,0
86,2010.0,3.7,1.95,0.09,0.58,6.32,96.0,2316.0,H,1
87,2002.0,4.01,1.26,0.87,0.17,6.31,61.0,439.0,H,1
88,2004.0,0.08,6.21,0.135,0.02,6.29,57.0,2182.0,H,1
89,1999.0,3.11,2.8,0.02,0.33,6.26,22.0,78.0,H,1
90,2011.0,4.05,1.59,0.07,0.5,6.21,96.0,1504.0,H,1
91,2010.0,3.92,1.73,0.04,0.51,6.19,51.0,95.0,L,0
92,2006.0,3.54,1.88,0.07,0.02,6.09,88.0,2295.0,H,1
93,2014.0,0.8,4.33,0.05,0.9,6.08,47.0,988.0,L,0
94,2001.0,2.45,2.01,0.87,0.72,6.05,42.0,1026.0,H,1
95,1998.0,3.18,1.83,0.78,0.24,6.03,20.0,918.0,H,1
96,2006.0,1.88,0.03,2.33,1.74,5.95,64.0,972.0,H,1
97,2013.0,2.41,2.18,0.28,0.99,5.87,98.0,8003.0,H,1
98,2008.0,2.8,1.98,0.17,0.87,5.82,85.0,23.0,H,1
99,1998.0,1.88,1.47,2.02,0.45,5.82,13.0,364.0,H,1
100,2009.0,0.63,0.67,4.35,0.15,5.8,29.0,197.0,H,1
101,1996.0,2.26,1.89,1.36,0.23,5.74,8.0,102.0,H,1
102,2014.0,2.49,2.07,0.16,0.92,5.64,95.0,5380.0,L,0
103,2007.0,3.57,1.55,0.05,0.51,5.64,17.0,62.0,L,0
104,2006.0,3.07,1.91,0.07,0.57,5.63,35.0,21.0,L,0
105,2009.0,2.54,1.93,0.21,0.86,5.55,70.0,1202.0,H,1
106,2007.0,3.28,1.64,0.07,0.56,5.54,17.0,1074.0,L,0
107,2009.0,2.99,1.9,0.1,0.5,5.49,90.0,516.0,H,1
108,2001.0,3.14,1.24,0.91,0.2,5.49,19.0,41.0,H,1
109,2008.0,0.47,0.55,4.13,0.34,5.48,48.0,124.0,H,1
110,2011.0,2.71,1.85,0.11,0.81,5.48,42.0,2162.0,H,1
111,2014.0,2.81,2.19,0.05,0.47,5.48,14.0,764.0,H,1
112,2001.0,2.62,1.64,0.99,0.23,5.47,24.0,108.0,H,1
113,2001.0,2.07,2.29,0.14,0.82,5.42,22.0,156.0,L,0
114,2008.0,2.73,1.83,0.04,0.83,5.39,45.0,409.0,H,1
